epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,1315.23,1.25353,0.71991,1.09751,0.95541,0.59904,0.64032,0.41648,1.24983,0.61611,1.11922,0.000806528,0.000806528,0.000806528
24,2613.28,1.24829,0.70662,1.086,0.95441,0.59677,0.64174,0.41807,1.23898,0.61936,1.1139,0.000778233,0.000778233,0.000778233
25,3883.44,1.23235,0.70588,1.08494,0.95499,0.59772,0.64166,0.42054,1.23728,0.60628,1.11131,0.000749939,0.000749939,0.000749939
26,5148.71,1.23454,0.68896,1.0857,0.95473,0.59936,0.64314,0.42208,1.22926,0.59122,1.10142,0.000721645,0.000721645,0.000721645
27,6420.46,1.23146,0.69226,1.08251,0.95105,0.6004,0.63945,0.42073,1.22046,0.59892,1.10019,0.000693351,0.000693351,0.000693351
28,7752.66,1.21333,0.67397,1.07739,0.95408,0.59963,0.64224,0.42092,1.23038,0.60245,1.10851,0.000665057,0.000665057,0.000665057
29,9060.93,1.22789,0.68459,1.08048,0.95603,0.60104,0.64213,0.42592,1.21108,0.58529,1.09499,0.000636762,0.000636762,0.000636762
30,10411.3,1.2082,0.66566,1.07293,0.9546,0.59823,0.64131,0.42552,1.20941,0.58999,1.09642,0.000608468,0.000608468,0.000608468
31,11726.6,1.2107,0.66285,1.06913,0.9509,0.60544,0.64314,0.42479,1.22771,0.58596,1.10612,0.000580174,0.000580174,0.000580174
32,13045.5,1.20211,0.65911,1.06912,0.95742,0.59718,0.64109,0.42326,1.21955,0.58281,1.09975,0.00055188,0.00055188,0.00055188
33,14331.4,1.19573,0.65845,1.06944,0.95503,0.60398,0.64413,0.42489,1.225,0.57544,1.09599,0.000523586,0.000523586,0.000523586
34,15598.5,1.19596,0.65633,1.06524,0.95402,0.60261,0.64558,0.42813,1.21368,0.57253,1.09866,0.000495291,0.000495291,0.000495291
35,16889.1,1.19537,0.64844,1.06192,0.95723,0.60077,0.6452,0.42539,1.21777,0.57865,1.09595,0.000466997,0.000466997,0.000466997
36,18126.1,1.1897,0.64285,1.06077,0.95944,0.60424,0.64693,0.42862,1.21994,0.56393,1.09594,0.000438703,0.000438703,0.000438703
37,19363.4,1.1709,0.63407,1.05395,0.95833,0.60281,0.6458,0.43078,1.2083,0.56724,1.09292,0.000410409,0.000410409,0.000410409
38,20618.4,1.17641,0.63612,1.06155,0.95643,0.60496,0.64583,0.42899,1.20913,0.56496,1.09165,0.000382115,0.000382115,0.000382115
39,21857.9,1.16692,0.62062,1.05499,0.95298,0.60765,0.64432,0.42961,1.2114,0.56366,1.09363,0.00035382,0.00035382,0.00035382
40,23107.2,1.17578,0.62428,1.05703,0.96024,0.60449,0.64451,0.42927,1.20968,0.56006,1.09309,0.000325526,0.000325526,0.000325526
41,24314.8,1.17511,0.56067,1.06658,0.95906,0.60469,0.64584,0.42871,1.21316,0.55847,1.09315,0.000297232,0.000297232,0.000297232
42,25537.4,1.16331,0.55214,1.06389,0.95442,0.60775,0.64648,0.43176,1.20595,0.5564,1.09512,0.000268938,0.000268938,0.000268938
43,26765.1,1.15417,0.54683,1.05835,0.95888,0.6079,0.64786,0.43207,1.20652,0.55387,1.0885,0.000240644,0.000240644,0.000240644
44,28003.7,1.14047,0.54069,1.05453,0.95979,0.60579,0.64758,0.43412,1.19906,0.54707,1.08653,0.000212349,0.000212349,0.000212349
45,29229.8,1.14565,0.53552,1.05426,0.9557,0.60784,0.6467,0.43285,1.20326,0.54868,1.08894,0.000184055,0.000184055,0.000184055
46,30436.9,1.13473,0.53017,1.04899,0.95759,0.60711,0.64723,0.43441,1.19654,0.54429,1.08717,0.000155761,0.000155761,0.000155761
47,31631.8,1.12984,0.52381,1.04982,0.62534,0.60778,0.64785,0.43543,1.19746,0.54189,1.08781,0.000127467,0.000127467,0.000127467
48,32847.8,1.12446,0.52288,1.04463,0.95963,0.60691,0.64796,0.43408,1.19647,0.54,1.0875,9.91726e-05,9.91726e-05,9.91726e-05
49,34060.4,1.1207,0.51547,1.04592,0.95911,0.6073,0.64875,0.43477,1.19571,0.54002,1.08617,7.08784e-05,7.08784e-05,7.08784e-05
50,35267.7,1.11735,0.51131,1.04236,0.95868,0.60639,0.64717,0.43401,1.20028,0.53961,1.08693,4.25842e-05,4.25842e-05,4.25842e-05
