epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.798,1.09827,0.71486,1.15765,0.96175,0.92,0.97085,0.71882,0.97189,0.6383,1.007,0.0674521,0.000328767,0.000328767
2,540.303,1.03158,0.67895,1.119,0.98056,0.9228,0.98278,0.68217,1.11914,0.54723,1.03904,0.0344518,0.000661848,0.000661848
3,809.119,1.04983,0.68512,1.10812,0.98238,0.96646,0.98883,0.72941,0.98718,0.57424,0.99617,0.00145054,0.000993915,0.000993915
4,1076.24,1.03735,0.6553,1.10753,0.94489,0.9878,0.98821,0.77373,0.85211,0.51417,0.96798,0.000996569,0.000996569,0.000996569
5,1343.02,1.03613,0.666,1.11522,0.96411,0.95732,0.98608,0.74395,0.91169,0.51281,0.97938,0.000993906,0.000993906,0.000993906
6,1609.32,1.01035,0.62992,1.1107,0.98186,0.98991,0.99039,0.70439,1.05106,0.5211,1.0229,0.000990489,0.000990489,0.000990489
7,1879.78,1.01877,0.63057,1.10219,0.98161,0.97646,0.99152,0.73686,0.98633,0.51615,0.99879,0.000986323,0.000986323,0.000986323
8,2144.41,1.0088,0.61822,1.08514,0.98183,0.98839,0.99151,0.70948,1.05007,0.50442,1.02689,0.000981415,0.000981415,0.000981415
9,2415.42,1.02759,0.63673,1.09247,0.97858,0.97496,0.99301,0.71305,1.00743,0.50639,1.02356,0.000975773,0.000975773,0.000975773
10,2676.49,0.97783,0.61568,1.08149,0.97885,0.98792,0.99295,0.714,1.00217,0.49354,1.00478,0.000969405,0.000969405,0.000969405
11,2946.01,0.98198,0.61106,1.08166,0.98457,0.97288,0.99264,0.7792,0.82594,0.45824,0.96369,0.00096232,0.00096232,0.00096232
12,3219.19,0.98471,0.59842,1.07758,0.98176,0.98458,0.99263,0.73278,0.96824,0.47773,0.98355,0.000954531,0.000954531,0.000954531
13,3487.11,0.96175,0.59609,1.07319,0.98028,0.9878,0.99263,0.72084,1.02098,0.49079,1.01564,0.000946048,0.000946048,0.000946048
14,3761.22,0.97946,0.5919,1.08496,0.97009,0.9889,0.99066,0.77068,0.84064,0.48619,0.95892,0.000936886,0.000936886,0.000936886
15,4034.7,0.97122,0.5982,1.08945,0.98179,0.98626,0.99232,0.71966,1.0317,0.47026,1.01529,0.000927057,0.000927057,0.000927057
16,4311.73,0.96368,0.58541,1.07078,0.99021,0.97256,0.98882,0.78341,0.81566,0.45214,0.95257,0.000916577,0.000916577,0.000916577
17,4596.56,0.97276,0.58322,1.08219,0.97006,0.98774,0.99268,0.74139,0.96553,0.46515,0.98374,0.000905463,0.000905463,0.000905463
18,4877.73,0.9195,0.57499,1.05472,0.98527,0.97866,0.99204,0.78669,0.82575,0.44014,0.95267,0.000893732,0.000893732,0.000893732
19,5161.83,0.95708,0.56832,1.05873,0.97495,0.99085,0.99295,0.75034,0.92506,0.45055,0.9658,0.000881401,0.000881401,0.000881401
20,5444.06,0.94598,0.57682,1.06792,0.98483,0.98936,0.99225,0.7932,0.78175,0.43474,0.94358,0.00086849,0.00086849,0.00086849
21,5718.55,0.94529,0.56211,1.06333,0.98806,0.97866,0.9922,0.76812,0.86427,0.45442,0.95426,0.000855018,0.000855018,0.000855018
22,6002.03,0.94417,0.55653,1.06566,0.97995,0.98171,0.99277,0.76705,0.88522,0.4675,0.96566,0.000841006,0.000841006,0.000841006
23,6275.9,0.94117,0.56287,1.05146,0.98769,0.97868,0.98983,0.79852,0.75908,0.42238,0.93024,0.000826477,0.000826477,0.000826477
24,6568.54,0.95961,0.56015,1.05568,0.991,0.99085,0.99002,0.75304,0.91705,0.44112,0.96049,0.000811452,0.000811452,0.000811452
25,6856.27,0.92668,0.55045,1.05299,0.98824,0.98476,0.98967,0.77349,0.83148,0.42912,0.9574,0.000795954,0.000795954,0.000795954
26,7126.95,0.92726,0.54729,1.05181,0.98483,0.98935,0.99064,0.747,0.98181,0.44003,0.99444,0.000780007,0.000780007,0.000780007
27,7404.88,0.93719,0.56266,1.06639,0.98785,0.99173,0.99338,0.81316,0.73316,0.41061,0.92819,0.000763637,0.000763637,0.000763637
28,7678.22,0.95269,0.55684,1.05659,0.99225,0.97561,0.99257,0.79704,0.78942,0.41492,0.93925,0.000746868,0.000746868,0.000746868
29,7952.89,0.91954,0.5386,1.04443,0.97007,0.99085,0.99293,0.75742,0.89981,0.46269,0.95385,0.000729725,0.000729725,0.000729725
30,8213.95,0.9298,0.54936,1.05467,0.98469,0.98075,0.99325,0.80969,0.7513,0.40319,0.92666,0.000712237,0.000712237,0.000712237
31,8484.58,0.91643,0.53011,1.04252,0.98775,0.9831,0.99328,0.79986,0.80044,0.38491,0.94608,0.000694428,0.000694428,0.000694428
32,8751.46,0.92179,0.53303,1.04491,0.99077,0.9814,0.99309,0.81318,0.77695,0.39744,0.93466,0.000676328,0.000676328,0.000676328
33,9016.87,0.93495,0.5475,1.05869,0.97539,0.99085,0.992,0.78486,0.82107,0.41696,0.94993,0.000657963,0.000657963,0.000657963
34,9279.22,0.90239,0.51022,1.03896,0.99079,0.98427,0.99311,0.77837,0.89651,0.41832,0.95372,0.000639363,0.000639363,0.000639363
35,9534.35,0.89971,0.52216,1.03675,0.98485,0.99076,0.99336,0.7724,0.92585,0.4104,0.95935,0.000620555,0.000620555,0.000620555
36,9802.1,0.90732,0.53936,1.03896,0.99077,0.98219,0.99354,0.82094,0.7267,0.4054,0.92373,0.00060157,0.00060157,0.00060157
37,10068.2,0.92197,0.51974,1.05164,0.98262,0.98171,0.99228,0.81366,0.74097,0.39602,0.92872,0.000582435,0.000582435,0.000582435
38,10332.7,0.8829,0.50936,1.0411,0.97764,0.9939,0.99358,0.80914,0.7533,0.39631,0.93486,0.000563181,0.000563181,0.000563181
39,10598.6,0.88275,0.51739,1.04105,0.98105,0.99085,0.99409,0.76754,0.89585,0.41423,0.9632,0.000543837,0.000543837,0.000543837
40,10870.5,0.88591,0.50471,1.02599,0.99002,0.98476,0.99413,0.7913,0.82008,0.3891,0.94305,0.000524434,0.000524434,0.000524434
41,11143.9,0.8404,0.48491,1.01804,0.98854,0.98476,0.99374,0.80427,0.76921,0.37874,0.92294,0.000505,0.000505,0.000505
42,11418.5,0.8716,0.48394,1.02067,0.99285,0.9878,0.99426,0.78404,0.87141,0.3738,0.94549,0.000485566,0.000485566,0.000485566
43,11690.9,0.88973,0.49481,1.01571,0.99085,0.99073,0.99435,0.81376,0.73981,0.36239,0.91941,0.000466163,0.000466163,0.000466163
44,11970.4,0.86843,0.48252,1.00857,0.98884,0.99085,0.99291,0.79535,0.81863,0.37369,0.93526,0.000446819,0.000446819,0.000446819
45,12245.9,0.8507,0.47606,1.01242,0.98484,0.99008,0.9937,0.80527,0.80321,0.37455,0.93046,0.000427565,0.000427565,0.000427565
46,12541.5,0.84695,0.48126,1.00994,0.98481,0.98861,0.99426,0.81484,0.77656,0.36794,0.92545,0.00040843,0.00040843,0.00040843
47,12834,0.84611,0.47627,1.01656,0.99374,0.98476,0.99423,0.80674,0.75219,0.37342,0.93124,0.000389445,0.000389445,0.000389445
48,13121.4,0.86381,0.49211,1.02521,0.98968,0.9878,0.99344,0.81154,0.75058,0.36948,0.92092,0.000370637,0.000370637,0.000370637
49,13408.6,0.84674,0.48411,1.01938,0.98891,0.98171,0.99385,0.81883,0.71732,0.36097,0.91245,0.000352037,0.000352037,0.000352037
50,13704.9,0.86653,0.46784,1.02372,0.98976,0.9878,0.99431,0.8277,0.70316,0.35501,0.91244,0.000333672,0.000333672,0.000333672
51,13995.2,0.85594,0.46047,0.99931,0.98741,0.9878,0.99392,0.79735,0.8082,0.36972,0.93667,0.000315572,0.000315572,0.000315572
52,14292.9,0.82379,0.44665,1.01299,0.99087,0.99303,0.99405,0.81582,0.76356,0.3555,0.92906,0.000297763,0.000297763,0.000297763
53,14583,0.81671,0.45767,1.00866,0.99089,0.99483,0.99347,0.78609,0.86159,0.38531,0.95397,0.000280275,0.000280275,0.000280275
54,14873.8,0.85285,0.47653,1.01973,0.98673,0.9878,0.99404,0.81121,0.78867,0.36622,0.92442,0.000263132,0.000263132,0.000263132
55,15167,0.83912,0.45735,1.00841,0.98437,0.9878,0.99334,0.79006,0.82967,0.37207,0.93982,0.000246363,0.000246363,0.000246363
56,15459.6,0.8108,0.44323,0.9904,0.99384,0.98364,0.9933,0.82335,0.73608,0.34959,0.91675,0.000229993,0.000229993,0.000229993
57,15732.8,0.81682,0.45828,1.00164,0.98833,0.98171,0.99252,0.8201,0.7428,0.34546,0.91925,0.000214046,0.000214046,0.000214046
58,16010.8,0.82711,0.46492,1.01326,0.98188,0.991,0.99331,0.78971,0.8309,0.35577,0.93883,0.000198548,0.000198548,0.000198548
59,16285.6,0.82951,0.45412,1.00596,0.99289,0.98171,0.99384,0.79979,0.82164,0.35416,0.9348,0.000183523,0.000183523,0.000183523
60,16566,0.83588,0.45728,1.0074,0.98664,0.9878,0.99407,0.81832,0.78285,0.34532,0.92331,0.000168994,0.000168994,0.000168994
61,16850,0.82769,0.44681,1.00475,0.98769,0.97874,0.99385,0.78667,0.87177,0.36809,0.94893,0.000154982,0.000154982,0.000154982
62,17133.9,0.81707,0.44536,1.00909,0.98391,0.99085,0.99392,0.81427,0.77932,0.34528,0.92438,0.00014151,0.00014151,0.00014151
63,17413.7,0.80623,0.43795,1.01077,0.98674,0.9939,0.99372,0.80776,0.77502,0.34533,0.92515,0.000128599,0.000128599,0.000128599
64,17698.9,0.79083,0.43451,0.99065,0.98787,0.9929,0.9934,0.80351,0.79119,0.34954,0.93083,0.000116268,0.000116268,0.000116268
65,17982,0.81595,0.43691,1.00403,0.98786,0.99276,0.99339,0.80095,0.78883,0.34743,0.92867,0.000104537,0.000104537,0.000104537
66,18271.1,0.79504,0.42817,0.99822,0.99254,0.98476,0.99325,0.81479,0.76445,0.34158,0.92418,9.34225e-05,9.34225e-05,9.34225e-05
67,18555.3,0.81092,0.44257,1.011,0.99384,0.98433,0.99349,0.80415,0.79098,0.34944,0.92794,8.29431e-05,8.29431e-05,8.29431e-05
68,18842.2,0.79433,0.41417,0.99167,0.99233,0.98476,0.99356,0.81454,0.76363,0.34098,0.92131,7.31145e-05,7.31145e-05,7.31145e-05
69,19128.3,0.79565,0.42582,0.98856,0.98743,0.9878,0.99333,0.81201,0.78071,0.34661,0.92256,6.39518e-05,6.39518e-05,6.39518e-05
70,19410.5,0.79548,0.4243,0.98935,0.99202,0.98476,0.99331,0.8044,0.80074,0.34905,0.92807,5.54691e-05,5.54691e-05,5.54691e-05
