epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8092,1.45787,0.89215,1.37691,0.55596,0.28889,0.31008,0.17933,1.7288,3.6695,1.74038,0.08911,0.00011,0.00011
2,90.1412,1.28735,0.7355,1.24461,0.26285,0.13333,0.11571,0.06592,2.06111,7.23003,1.86227,0.0772277,0.000227723,0.000227723
3,131.864,1.34983,0.71982,1.25554,0.87367,0.1539,0.17804,0.11654,2.16389,6.86598,1.93895,0.0653431,0.00034307,0.00034307
4,175.387,1.28552,0.69722,1.23731,0.8519,0.71111,0.80922,0.42944,1.74428,1.53163,1.48027,0.053456,0.000456041,0.000456041
5,216.373,1.29126,0.70591,1.23021,0.91528,0.95556,0.96456,0.53882,1.52134,0.84298,1.31582,0.0415666,0.000566636,0.000566636
6,258.357,1.2839,0.7014,1.22932,0.97135,0.95556,0.95841,0.5494,1.45989,0.666,1.31271,0.0296749,0.000674855,0.000674855
7,300.447,1.29138,0.68931,1.21482,0.97289,0.95556,0.97441,0.57181,1.41826,0.61279,1.32449,0.0177807,0.000780698,0.000780698
8,342.903,1.25835,0.65588,1.2168,0.97212,0.95556,0.97467,0.54455,1.50604,0.66927,1.3701,0.00588417,0.000884165,0.000884165
9,384.954,1.18997,0.6647,1.19936,0.95041,0.95556,0.97452,0.54672,1.51541,0.64106,1.36662,0.0009208,0.0009208,0.0009208
10,426.561,1.18909,0.68646,1.21827,0.95178,0.97778,0.97375,0.61226,1.34635,0.57494,1.2875,0.0009109,0.0009109,0.0009109
11,467.286,1.27312,0.68817,1.23744,0.91484,0.97778,0.98385,0.62961,1.29512,0.5592,1.27285,0.000901,0.000901,0.000901
12,509.661,1.30023,0.69065,1.2265,0.95502,0.94381,0.97326,0.61756,1.31685,0.57066,1.27502,0.0008911,0.0008911,0.0008911
